INSERT INTO tokens VALUES('J6aR9owDCNTgj13uWB4vs9rquSdmmq1WJDBWPD9kHJgW', '2uEQCWq7YKwM9EoQwxxwaTmNY31C1RiJJt8gGpB3pump', '369', '764', '129', '480', '43737.71', '138809.57', '15.08', '28789', '46609.35', '5566987', '0', '0', '0', '0', '0', '1', '3', '461', '3400', '3000', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('8nwknHbs6mrhhjxdwh4bZLY15BE9dPLP2HVkcQDDbd9D', 'DAoFLnMkwseDKQtGmtQ4QSJirSNWkR418jFPp3TXoreG', '71', '599', '70', '542', '15629.59', '194905.37', '-33.61', '-80.1', '14770.62', '16245', '0', '0', '0', '0', '0', '2', '4', '1059', '400', '0', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('Apzsv6kENb9vAPWJfmuqNHvmhzoTd2mZtqZBETRuPoAB', 'DqHFFu8Z2x9erymQACAiYjZnj8ad75SS5gonXdBTpump', '570', '2868', '521', '2511', '127406.45', '643154.05', '-0.31', '67.23', '42866.73', '131676', '0', '0', '0', '0', '0', '2', '4', '1059', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('2EeKBBbbxjhf7bDEUCu4CzwNkwKyST3aSSS2sDfjueND', '7cKRXG2Cs48gcacri72AijwTxcyhnxniABC28TZ65Vbk', '22', '96', '6', '14', '5681.22', '32991.67', '6.91', '46.49', '319912.07', '200387', '0', '0', '0', '0', '0', '1', '4', '1060', '11499', '0', '400', '100', '10999', '0', '0', 'Success')
INSERT INTO tokens VALUES('Bmpa5Ma5KqjaxmMWXrH7BbyVLhcHrT7kQJAD1b7rhkN2', '21hryZ3YafXdQJ8Ncz87BscY9nd62oD4CXrrkWTryxru', '221', '669', '32', '78', '14987.17', '277988.8', '6.47', '1869195', '524576.1', '2292038309', '1', '0', '0', '1', '10', '1', '4', '1062', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('GzaqDMmTpDVXb9DmvUAsW1Tpzy55NT9Z2xrSHG3ijKmG', '38jT8g1TB1U44ohySjvm2GNtfLDt28sfMbmdwJhQpump', '51', '198', '19', '65', '19472.76', '71206.53', '21.14', '122', '388850.22', '290412', '0', '0', '0', '0', '0', '1', '4', '1063', '11399', '0', '400', '0', '10999', '0', '0', 'Failure')
INSERT INTO tokens VALUES('6DNy6uDAwkykHHtoxnAML1JVAdYDQUjfsbCHqFeaPTvh', 'EKkzDSaH4wmoCPUxGXTwwFpwaxcgcdDkvN5BTP8XNosE', '670', '2292', '525', '1765', '3586.95', '67814.49', '9.03', '360496', '125680.65', '1307823101', '0', '0', '0', '0', '0', '1', '4', '1064', '3400', '2900', '400', '100', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('A99c6SkWTp6cDBnvoHnq4Ww3mD6RGnJGEBY5u6GhHvui', '2jStpVMNiM7M1p6en22jovfSGr3izFQ4MMg3KrSBRf32', '87', '725', '89', '536', '16787.14', '143992.93', '32.2', '6.23', '32832.37', '81030', '0', '0', '0', '0', '0', '2', '4', '1073', '0', '0', '0', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('8ksf63sYxxaGkag9YnUSYBsiGJ8QKR4L2uad8Q4Ymsnk', 'BnSUkMuDdCQjzaaap3mshXjJZwBcnQtoJy1tAYYbpump', '30', '176', '11', '120', '2176.76', '13458.04', '16.54', '-18.37', '28551.43', '62616', '1', '0', '1', '1', '50', '2', '4', '1078', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('AiDovghRmzJHu4w5Rav4d6tGYJR9vq7AumjFm8QRU5WX', 'EXoB81ifL38AM2CaHovm1uLyXM4hAtFF28ZvTF85pump', '39', '246', '17', '173', '5689.78', '20926.26', '9.3', '42.79', '37706.9', '108653', '1', '0', '0', '1', '0', '2', '4', '1082', '400', '0', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('GSXghqLPxXmaF2GDaGamXp5GfWnhXPbyYjRN3bWK2EhG', 'EpjAXpavENJ8g57jXvoocNwVRnT1wQGWHt6QjRrspump', '102', '1893', '122', '1678', '34069.63', '737966.07', '15.32', '16.62', '38106.71', '105554', '0', '0', '0', '0', '0', '2', '4', '1085', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('HMLVMA5uDacqFSbZaGqHYwud6VUcq3pdkvHw7sfRh2mE', 'EpfefkbcA9dJFqEKG5hCpgkjD7ZK7TxtpdNkig1pump', '138', '724', '126', '473', '69246.39', '192019.17', '14.6', '1025', '108318.22', '888124', '0', '0', '0', '0', '0', '2', '4', '1098', '3082', '0', '400', '0', '0', '2682', '0', 'Success')
INSERT INTO tokens VALUES('5Pa8iJDeBp5mxfsp2aiFYDimzFGno6auaQR4EzxeWWQi', 'ADQyopbd4GRHg59C3WvCoAaEJ3RtSYXKMQo6NvgubLsn', '150', '378', '33', '80', '50036.59', '380095.41', '13.46', '1689142', '663301.54', '2739958172', '1', '0', '0', '1', '10', '1', '4', '1101', '400', '0', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('6Gk12yj4SwLaNBdohPECXupXQfBKXrAUbdBPgjrjr71f', '2jBcbcY1eSTYHYAzcA2FPMDEN3PCeAhTPUYVeKpVpump', '34', '237', '19', '270', '5804.67', '22737.85', '44.62', '10.42', '33586.72', '86229', '0', '0', '0', '0', '0', '2', '4', '1102', '5290', '0', '400', '0', '0', '4890', '0', 'Success')
INSERT INTO tokens VALUES('DRk7kcSUg2BEcbj9UQMBDArgRy3KYiZ3ZHMNscwLK8Tw', '5u871kSQ9CVePyMFncWN4iN9YDTDHDo1Pvf3eZB8t9gn', '193', '385', '47', '105', '27318.98', '267261.59', '6.62', '1858943', '455744.27', '1849895533', '1', '0', '0', '1', '10', '1', '4', '1105', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('43Le4yEFasNfDXaRBFWQ52hsJtXAGx1DKcQwrMLToUNs', '2BuXJDuA8dnqUpytSpnyxNy9ymuchZFbWxFcsRgFpump', '1121', '4160', '1037', '3484', '304116.22', '872206.82', '-50.94', '39.16', '39430.02', '107802', '0', '0', '0', '0', '0', '3', '4', '1110', '400', '0', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('Ca584eeQvwpcmARjPs3ZJABtEF7XoKNhfQ4bvH2n4ETT', '5hXTxbLdJAR2KUCobBz52SG3K3AQFa4H7usTaH5ypump', '1', '127', '4', '153', '535.78', '22395.5', '-12.96', '-81.75', '13608.6', '14135', '0', '0', '0', '0', '0', '2', '4', '1114', '5400', '0', '400', '0', '0', '5000', '0', 'Failure')
INSERT INTO tokens VALUES('ApxWdXANLUwnH7N7gPhtMT5wmkt5ExB5eHmEYwSvv2vN', '914utPSGgCehbyVSZQRz6bBXK832iZb1aKSdFU2tMBfb', '13', '242', '10', '203', '2937.35', '42633.36', '19.12', '-49.67', '22626.21', '38886', '0', '0', '0', '0', '0', '2', '4', '1116', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('8jrXD1yYfDC4PumaZ8ktDpMFyoufBH4mwmffJVfMv7qF', 'DqB63HanHHAfkNkK8PUEQkAXjyNUXZVDkudXBPHFpump', '158', '502', '6', '36', '9399.09', '86985.4', '25.44', '370654', '172666.07', '359393943', '0', '0', '0', '0', '0', '1', '4', '1119', '600', '0', '500', '100', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('GyrZKAJrTDK4axPk7oUR59Bwmgks6XCrzijon5gf3hAK', '3iKJau3eqKD7Buqm8dpsiAoFeaCTA1vkaocveUyPpiL4', '2', '53', '0', '19', '58.88', '10983.41', '21.99', '1630', '12918.17', '78790', '0', '0', '0', '0', '0', '1', '4', '1125', '10312', '0', '200', '0', '0', '8699', '1413', 'Failure')
INSERT INTO tokens VALUES('4QoXMgTeJGZhD1iHsHsnbdqGrXFDdrxnB9SgRt2xuaU9', '5Ut4YsXrc4VJtV12j8nJhkXWRbZaVPaPgMnhUzsHvif4', '139', '438', '31', '110', '72948.68', '492487.7', '9.98', '1871775', '577495.99', '4156543685', '1', '0', '0', '1', '0', '1', '4', '1128', '3400', '3000', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('C3EB8pCmMiqEhjvLRKGERKfyoriLVaBR6f6e2yUZhscd', 'A6U2xX9uCfqJeTBNmgLS78MThBAs4xcmTiv1BbAJpump', '64', '372', '64', '254', '9692.33', '55694.53', '-4.54', '209', '61916.49', '294428', '1', '0', '0', '1', '0', '2', '4', '1159', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('F7an9fEnRj8cHcHmemrAAqxf4kAwB8HZuhEMWefX9xSS', '78mxN5rw8YfuSgVMoV2mZH6KkoHXeSehfZxbjjwFTxbM', '736', '2388', '560', '1769', '3905.81', '66336.45', '8.57', '362995', '124585.28', '1299771542', '0', '0', '0', '0', '0', '1', '4', '1161', '3400', '2900', '400', '100', '0', '0', '0', 'Success')
