INSERT INTO tokens VALUES('4mWxq6cSKC1b69MWFFEh1qmgRHHXajbVnb8T8NZ1CEFd', '4zMmxWeRK2WdzXHf6HkBRF3PRnHLDe6wCqyvxupyj44e', '689', '4534', '632', '4053', '104593.71', '750261.34', '24.37', '110', '42032.68', '141946', '1', '0', '1', '1', '0', '2', '3', '1262', '400', '0', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('GuYft5VjaYoVh8ybqHroMpt4ck7G2RdQfXyRPP8sGvki', 'H9NEa8EY9jLZhoVKe7fmVdYFTyHVxW8C42oFsUe9pump', '192', '866', '97', '489', '107957.65', '540631.04', '8.15', '1162', '251794.81', '6747747', '0', '0', '0', '0', '0', '2', '1', '1209', '2900', '2500', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('6m6T1TCwJbL6gfPw3ZxQqXZpJbkpuiGx66Z5vmzHpyFw', 'CM4wDEgDaXSSuG1K6W7p46VMUJC39VyAD8AT1cjkpump', '488', '2363', '508', '2237', '109936.51', '455766.93', '-20.86', '147', '37487.22', '142758', '0', '0', '0', '0', '0', '3', '1', '1213', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('GAp41BRtGy4YXMM5b8kUJSyX54hADTFT3nyzy28EjzMp', '78guSDj8rY55n2AqA6ZS71dKwdjVZ5BUsid9siaRpump', '178', '682', '98', '292', '128685.4', '532656.27', '126', '898', '107116.99', '1203877', '0', '0', '0', '0', '0', '1', '1', '1268', '11499', '0', '400', '100', '10999', '0', '0', 'Failure')
INSERT INTO tokens VALUES('BFxiPSh95dB1bxb6A7FAYpb6DL8rbZFKgeZvmmhuoRCd', '23vpKKUf6PLHZN8BhxyNneX1dJcDwcXiKPJHgsWje4fD', '166', '1150', '155', '893', '22193.08', '157229.26', '-33.52', '931', '22824.4', '47249', '0', '0', '0', '0', '0', '1', '1', '1283', '11499', '0', '400', '100', '10999', '0', '0', 'Failure')
INSERT INTO tokens VALUES('4rYn47NEdtgwMstBGSnssLW14BhTV8qV5zt1D77X7Yi6', 'EevQnfEtLn7Y4jgpPvb4Faqqvo59wVwmUeKfYMwDpump', '163', '647', '134', '622', '29143.46', '70600.53', '59.27', '1.99', '22804.49', '54411', '0', '0', '0', '0', '0', '2', '2', '360', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('AcW8m37KSSPX6dmkxcP9koLrnu4gKYnExsdzYxbHDHZ9', 'H8UdxA1Wad2igen6hfNBF99dhYTRPUbC1SVG3Sujpump', '69', '551', '72', '378', '8543.78', '59840.12', '-5.99', '72.64', '32341.42', '112944', '1', '0', '1', '1', '0', '2', '2', '372', '2900', '2400', '500', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('FkoiCePsmQWissDvcATa6ACxceH9kwX5xDHFDvjB1FKs', '5TXBTFmk6gSUCGteyE2d4Kmm4KCjW7tcwDx1cx4JP6Pm', '660', '2276', '232', '801', '2233.51', '45629.32', '8.74', '367188', '88585.58', '930782384', '0', '0', '0', '0', '0', '1', '2', '387', '3500', '2900', '500', '100', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('CELysxmMsWPFQANh5aPPxcJqTXXYi5Z2hvSN1EmuzyAR', '9cryM4Jb5LiQXBZJnwhDbkTALJeDv7K1227XcfVXTPWi', '59', '77', '24', '35', '4979.11', '12502.46', '50.75', '976', '27641.72', '45462', '0', '0', '0', '0', '0', '1', '2', '390', '11500', '0', '500', '0', '11000', '0', '0', 'Failure')
INSERT INTO tokens VALUES('FvZ2oXSXhw3FDPi1bn4q5nvaRc9hpq7dcCg2J5BkcAzg', '83UkFUgr5hi728YYqoCQGbLfZK554cMvY83x7gCzWQ6c', '125', '536', '69', '223', '88685.72', '352681.63', '-46.3', '3621', '39523.35', '909811', '0', '0', '0', '0', '0', '1', '2', '409', '11367', '0', '300', '100', '10967', '0', '0', 'Failure')
INSERT INTO tokens VALUES('pRdjR4g4cHW1md9nQrxL1T5xYNFBnWftEcy74rbgQgH', '4wvVyvvqvP7WQhKK1nXmJaCLqVMaEvUFuQdg6QKKpump', '900', '2342', '878', '2130', '92262.21', '387971.87', '5.67', '127', '39745.82', '166081', '1', '1', '1', '1', '100', '2', '2', '423', '500', '0', '500', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('77xkJWsyMUapxN7Dy1ANQcHiKrfEejNp14y19Y4KCD2H', 'J49fZuMpKELkHp31rkdaY6BpPRBzvc8TM5VoJFbvqkRk', '136', '492', '70', '201', '8463.58', '246330.24', '5.75', '3824753', '481369.06', '4179502489', '0', '0', '0', '0', '0', '1', '2', '432', '500', '0', '500', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('JE93LnZy6UiepnXBipfJvUX81Kq8THju16wNnqmF4how', 'bfkyUaAcA7a8tR1PhJhftokWTyr8y9Y2Bf7UgMtpump', '676', '2171', '702', '2196', '19410.92', '132997.72', '14.81', '10.57', '23857.89', '61288', '1', '0', '1', '1', '0', '2', '2', '438', '500', '0', '500', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('6wuUQoiEWHNsrgCQUXYcizPfF2XxeAoVCsGj5EU4WtDR', 'EGfLYspKVANdsW5VM3FLCgyMnTALRNWw1rHc9ViJGef4', '138', '507', '84', '225', '7070.76', '245156.27', '4.51', '3771525', '474842.55', '4097499700', '0', '0', '0', '0', '0', '1', '2', '478', '500', '0', '500', '0', '0', '0', '0', 'Failure')
