INSERT INTO tokens VALUES('4mWxq6cSKC1b69MWFFEh1qmgRHHXajbVnb8T8NZ1CEFd', '4zMmxWeRK2WdzXHf6HkBRF3PRnHLDe6wCqyvxupyj44e', '689', '4534', '632', '4053', '104593.71', '750261.34', '24.37', '110', '42032.68', '141946', '1', '0', '1', '1', '0', '2', '3', '1262', '400', '0', '400', '0', '0', '0', '0', '4x')
INSERT INTO tokens VALUES('98xmt5X5CkbZacsZHaTnn7otZhDnCJ9XHcKbUKk3yieL', '88654c8fJazUrQXJYXhixJxeiVFxy2L9ViqVwwuxdPQ8', '188', '3080', '204', '2430', '22627.23', '602444.91', '25.4', '77.31', '30401.25', '94802', '0', '0', '0', '0', '0', '2', '1', '639', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('HC82sE2D1eW8vDoFCA5SzDBGZSQjNbLkcX3dzWAaqRfH', '2jdbVUzpwaXmyJQsTxzpDqE86zjrrf6NBUcVjaayz6kc', '135', '525', '79', '212', '93504.02', '285924.91', '-61.31', '20211', '52272.89', '4841692', '0', '0', '0', '0', '0', '1', '1', '642', '11371', '0', '300', '100', '10971', '0', '0', 'Success')
INSERT INTO tokens VALUES('8XAooXimyGj9ofc7zYZfF2UMZ3krLP9qcNjfEv8uH5iy', 'Htfpn4gciCE7Nk9M1bhqXKE8peiaZbThAAuFTNjkTeGN', '526', '1658', '265', '828', '2634.79', '36762.54', '15.6', '1012445', '73230.59', '1923548408', '0', '0', '0', '0', '0', '1', '1', '648', '3400', '2900', '400', '100', '0', '0', '0', 'RFailure')
INSERT INTO tokens VALUES('JM7ZaAHKfiK6VkfsHahb5yuysCAbbfLvjmmqM813B7R', 'AkE8EnjDpg8FUkZttXEByRK9itFcnffeqPEedH59S2Sx', '667', '2257', '235', '783', '4153.28', '50634.55', '10.32', '117402', '89944.91', '290528585', '0', '0', '0', '0', '0', '1', '1', '650', '3400', '2900', '400', '100', '0', '0', '0', 'RFailure')
INSERT INTO tokens VALUES('61nHiJutFw4sfPpMtutcRSaPGKtE9CBLb99g7rvHuxmm', 'AU8d6byi8tmFpB5Lg1uAKPoiJX2vPcCVovubhdocpump', '3038', '6673', '245', '1371', '39911.5', '286736.51', '10.94', '293', '56287.22', '338105', '1', '1', '1', '1', '500', '2', '1', '652', '400', '0', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('Gz1x9vtBanGQ48Mi4FAJ5Kc4C8p3t29tzTtrpd8CB8mF', '5d1gGdp3AZ1YZTr4APs6wjm7FmKgu8WQhDtvPpGMGTps', '75', '311', '14', '21', '6104.03', '78079.24', '4.4', '966967', '149264.19', '395063071', '0', '0', '0', '0', '0', '1', '1', '653', '3400', '3000', '400', '0', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('5HV3oNJdrQQ3F3NZtYAtBuSTYgbgk5cbngQC885nQWuH', 'AxriehR6Xw3adzHopnvMn7GcpRFcD41ddpiTWMg6pump', '33', '85', '13', '32', '4640.45', '10277.08', '3.91', '6.55', '17924.5', '10780771', '1', '0', '1', '1', '0', '30', '1', '654', '2101', '0', '0', '0', '0', '2101', '0', 'Failure')
INSERT INTO tokens VALUES('2xZkGa4teDWvMTybAtiab6xjwWZ45U4P3fSURjv9GZfj', 'HqDRdQpPfqpNNEcB95CnmMBJPJFynzGVw6WwdSdtGLz2', '235', '900', '219', '624', '42103.9', '116334.03', '132', '18451', '20607.42', '158566', '1', '0', '1', '1', '0', '1', '1', '671', '500', '0', '400', '100', '0', '0', '0', '4x')
INSERT INTO tokens VALUES('2zke8sAYjzTHJCoe6cvn59Z6cvrFQSHupvyVsU6pJTy6', 'ESS1hccW4qkfX5KkYV931SwastLcFjuKuyhyqKyVMP8D', '162', '618', '78', '240', '4890.23', '246483.04', '2.03', '3524004', '488468.46', '4240466302', '0', '0', '0', '0', '0', '1', '1', '680', '400', '0', '400', '0', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('59Z3yW42p6ou5mSzbGLpj1iwY6pLDuBqxGMj8ThUJE4y', '5vKc4NMZKfSityxEdBzV25G6bQ5NtMuRiP5GS3YNGG5o', '156', '516', '80', '224', '84068.42', '251086.86', '-3.43', '15738', '35462.69', '3631968', '0', '0', '0', '0', '0', '1', '1', '682', '11368', '0', '300', '100', '10968', '0', '0', 'Failure')
INSERT INTO tokens VALUES('5a1BzCLBxWRGYwBq7BK9LceqH94SWWT7mUqxSDXtu3P8', 'BiMoFDqCjACMgpVNgfQMbihvXbAPeiXM1w1nyhRUXaaM', '217', '626', '21', '60', '7221.23', '189262.57', '4.42', '1812633', '362013.49', '1552460220', '0', '0', '0', '0', '10', '1', '1', '683', '400', '0', '400', '0', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('HpkyGbBjiFYX64UpZVPaQBhwnivwQNbLP6kaykMH6Bdh', '3oWMAZos8CHLph99WdPYJ8FpZbZg8X6tCWaYxTQz47Rr', '162', '596', '50', '198', '57319.68', '226884.95', '49.83', '18376', '63450.11', '7045365', '0', '0', '0', '0', '0', '1', '1', '684', '11377', '0', '300', '100', '10977', '0', '0', 'Failure')
INSERT INTO tokens VALUES('EHt4mjpNZKmxhFMZqJdAA5CnU5TBNUNKh8Yc9bjRuy9V', 'G9oHFdhMHAuvfxBJ7d1PBZABQKDyMXTFtMTRBnEjpump', '130', '611', '95', '460', '9157.11', '38593.66', '12.09', '91.96', '32380.47', '114337', '1', '0', '1', '1', '0', '2', '1', '689', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('DdeCQfJhQY7TYodjdV7q9D5G4DDGnuRqZFSxn2yzzicX', '147RfdWKzt84D6QoQeoG4iNXy7eEfSeYbUSKCpJ8pump', '23', '105', '2', '10', '12094.25', '39498.25', '6.34', '22.35', '811586', '449546', '0', '0', '0', '0', '0', '1', '1', '693', '11499', '0', '400', '100', '10999', '0', '0', 'RFailure')
INSERT INTO tokens VALUES('3gzTF4iKM6ZPpDzrqtJF9dWNziqeTuwkmz1cFiEBt7bH', '4mvhLAfXErtE7pBqfnmVcmbyqftVvbcgPezs9MxA5Cwx', '13', '76', '1', '11', '831', '2612.34', '1.83', '6.35', '206736', '105929', '0', '0', '0', '0', '0', '1', '1', '713', '11499', '0', '400', '100', '10999', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('2U49W7KYCpES7iY8ZdF9wFuN8PA49oiASAj44jXaUTbU', '14BUe9CAVY9UKXRZ2GJ8CmjBkpDjxWbMVcTt5x3Cpump', '23', '117', '1', '14', '16716.13', '50791.4', '8.41', '32.08', '794760.96', '455383', '0', '0', '0', '0', '0', '1', '1', '714', '11499', '0', '400', '100', '10999', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('8djFSfJbEtP67rfxSzQ99WvUmPtV7rh1SzPuDjqEEYzn', '4B9nwEdoUSHZq8zwcSjQrxUis8N1bTSitSJmHUcc1hXs', '131', '546', '72', '208', '5168.96', '265476.88', '1.97', '4157097', '519863.91', '4692442529', '0', '0', '0', '0', '0', '1', '1', '717', '400', '0', '400', '0', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('GMHxWHu5X2ikHBHxG6DdXz4ms6RhazHzv4A3HGa3nhp4', 'AhA9FMrjSig4aW1YJNm4ZSU4zYdP5JcT3x5bKidukXNV', '136', '522', '81', '202', '6901.86', '253471.86', '4.67', '3735998', '494113.01', '4249007423', '0', '0', '0', '0', '0', '1', '1', '721', '400', '0', '400', '0', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('EJg6LcoZ2uWrFnwXMCXDSHn6xisJ7BiR9E3VNEdBFJae', 'H6KQGz8BKuGa4KPQvdNkddhkL4pH832Zj58nTddgSCJq', '663', '2131', '222', '701', '2612.69', '48787.53', '9.82', '1189500', '94204.32', '3086020245', '0', '0', '0', '0', '0', '1', '1', '1173', '3400', '2900', '400', '100', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('GvkDpLYALDo3sFvuaoghHKUan25zp99a9vtzPr5vwCUe', '9rkZRGTzibzJWjZFbXZAfd3SBiJQajpZL8EUGtwpDv8D', '33', '156', '4', '27', '18513.51', '103749.33', '8.78', '50.1', '873534.59', '571370', '0', '0', '0', '0', '0', '1', '1', '1179', '11499', '0', '400', '100', '10999', '0', '0', 'RFailure')
INSERT INTO tokens VALUES('FaRknZMfFQdQXZxFBjryeYxGznoPzJr76AP16eLsVaAu', 'QSPeeqBc2uMSvQZgheAvApaAtshkFrQx8vcHdASNU5W', '0', '41', '2', '13', '1024.64', '45826.1', '-4.36', '13429', '88828.83', '1716100', '0', '0', '0', '0', '0', '1', '1', '1180', '2800', '2600', '100', '100', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('BNGZUKfjPY2Uc5mxG9nfHxEtxw47SsMFh6BHwkaevtab', 'BcAcLEvwHuen4tn6EFLtQ8KzHHwZjvGRc1ejaSL4oTRF', '692', '2335', '232', '791', '4908.64', '55820.95', '12.91', '126787', '97756.2', '332901772', '0', '0', '0', '0', '0', '1', '1', '1180', '3400', '2900', '400', '100', '0', '0', '0', 'RFailure')
INSERT INTO tokens VALUES('GuYft5VjaYoVh8ybqHroMpt4ck7G2RdQfXyRPP8sGvki', 'H9NEa8EY9jLZhoVKe7fmVdYFTyHVxW8C42oFsUe9pump', '192', '866', '97', '489', '107957.65', '540631.04', '8.15', '1162', '251794.81', '6747747', '0', '0', '0', '0', '0', '2', '1', '1209', '2900', '2500', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('2XyMUkZqMCETF9e2SAdS4JRooDRVNLnssB6nznht2bgd', 'HZZcxkwtVPKhJb9gemc5atvEcbrrBTds3iHdivrjtime', '81', '524', '51', '283', '21399.22', '220136.93', '-18.76', '1.6', '53047.22', '79266', '0', '0', '0', '0', '0', '3', '1', '1211', '10999', '0', '0', '0', '10999', '0', '0', 'Success')
INSERT INTO tokens VALUES('6m6T1TCwJbL6gfPw3ZxQqXZpJbkpuiGx66Z5vmzHpyFw', 'CM4wDEgDaXSSuG1K6W7p46VMUJC39VyAD8AT1cjkpump', '488', '2363', '508', '2237', '109936.51', '455766.93', '-20.86', '147', '37487.22', '142758', '0', '0', '0', '0', '0', '3', '1', '1213', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('G4LH8HkFFGTuDPZRam5LY5rwSRutTCyZbRb1gsUk39Qn', 'J19S3UKpUBHTwSabVWVJhuMWkUutavpWPAZqxsV2bUVM', '57', '459', '65', '382', '14724.88', '82040.79', '6.43', '3263', '16292.93', '55228', '0', '0', '0', '0', '0', '1', '1', '1215', '11399', '0', '400', '0', '10999', '0', '0', '4x')
INSERT INTO tokens VALUES('GAp41BRtGy4YXMM5b8kUJSyX54hADTFT3nyzy28EjzMp', '78guSDj8rY55n2AqA6ZS71dKwdjVZ5BUsid9siaRpump', '178', '682', '98', '292', '128685.4', '532656.27', '126', '898', '107116.99', '1203877', '0', '0', '0', '0', '0', '1', '1', '1268', '11499', '0', '400', '100', '10999', '0', '0', 'Failure')
INSERT INTO tokens VALUES('xm63tnXMuSVJAMyy56v4TTd6RsVPgNXb9PL3TqdwcyK', 'U1nrApTzif8k3o4EmWv6VZvkyFvd5nE389gqUTrAy4H', '677', '2292', '225', '745', '3889.45', '55866.32', '7.23', '1168904', '97987.85', '3358171643', '0', '0', '0', '0', '0', '1', '1', '1270', '3400', '2900', '400', '100', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('9hjiCVW7AiLFATV1x6qhBuXovM7KnFRrBnwNG8Fv5GkE', 'Hosw7QFqNCsSQDPzftAmanB6AB1doFrG5P5vA9DjaNQF', '168', '577', '88', '254', '5479.52', '254644.17', '3.27', '3494683', '498371.56', '4337307100', '0', '0', '0', '0', '0', '1', '1', '1274', '400', '0', '400', '0', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('BFxiPSh95dB1bxb6A7FAYpb6DL8rbZFKgeZvmmhuoRCd', '23vpKKUf6PLHZN8BhxyNneX1dJcDwcXiKPJHgsWje4fD', '166', '1150', '155', '893', '22193.08', '157229.26', '-33.52', '931', '22824.4', '47249', '0', '0', '0', '0', '0', '1', '1', '1283', '11499', '0', '400', '100', '10999', '0', '0', 'Failure')
INSERT INTO tokens VALUES('Fb4mVsA98Qpe8WrfFVVQRm2sBHPWSmwvbVmLWZF4qNFV', 'AQdpZzKySKrVE4yogXVQmGH8qKgkRp1b4aGcsu6Ppump', '192', '697', '199', '688', '20189.32', '112214.57', '-26.16', '-13.64', '20684.48', '44969', '0', '0', '0', '0', '0', '2', '1', '1284', '400', '0', '400', '0', '0', '0', '0', 'Success')
INSERT INTO tokens VALUES('4rYn47NEdtgwMstBGSnssLW14BhTV8qV5zt1D77X7Yi6', 'EevQnfEtLn7Y4jgpPvb4Faqqvo59wVwmUeKfYMwDpump', '163', '647', '134', '622', '29143.46', '70600.53', '59.27', '1.99', '22804.49', '54411', '0', '0', '0', '0', '0', '2', '2', '360', '400', '0', '400', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('AcW8m37KSSPX6dmkxcP9koLrnu4gKYnExsdzYxbHDHZ9', 'H8UdxA1Wad2igen6hfNBF99dhYTRPUbC1SVG3Sujpump', '69', '551', '72', '378', '8543.78', '59840.12', '-5.99', '72.64', '32341.42', '112944', '1', '0', '1', '1', '0', '2', '2', '372', '2900', '2400', '500', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('FkoiCePsmQWissDvcATa6ACxceH9kwX5xDHFDvjB1FKs', '5TXBTFmk6gSUCGteyE2d4Kmm4KCjW7tcwDx1cx4JP6Pm', '660', '2276', '232', '801', '2233.51', '45629.32', '8.74', '367188', '88585.58', '930782384', '0', '0', '0', '0', '0', '1', '2', '387', '3500', '2900', '500', '100', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('CELysxmMsWPFQANh5aPPxcJqTXXYi5Z2hvSN1EmuzyAR', '9cryM4Jb5LiQXBZJnwhDbkTALJeDv7K1227XcfVXTPWi', '59', '77', '24', '35', '4979.11', '12502.46', '50.75', '976', '27641.72', '45462', '0', '0', '0', '0', '0', '1', '2', '390', '11500', '0', '500', '0', '11000', '0', '0', 'Failure')
INSERT INTO tokens VALUES('9ziYmQ3vmigoNiXBeG6Yk8rDwYHQvwPpJ1CJdjRkAXr', '4XWYTxHF2Mt7ayNh2qPQvYstqSqtH1J25jvbMBHk5y16', '233', '760', '15', '69', '7996.33', '190390.31', '5.95', '1776184', '351872.18', '1483719608', '0', '0', '0', '0', '10', '1', '2', '401', '500', '0', '500', '0', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('83UVFY6tAKfWACBrHDzwWabFXvrjmn8Tg1uhgwCgY4ZR', 'GpkQUmgc6yjtkmRTo2CDpG6nL5D53EceaGAdzCZmkCpp', '233', '721', '23', '79', '9720.5', '198087.26', '5.26', '1873100', '365575.3', '1600439717', '0', '0', '0', '0', '10', '1', '2', '402', '500', '0', '500', '0', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('FvZ2oXSXhw3FDPi1bn4q5nvaRc9hpq7dcCg2J5BkcAzg', '83UkFUgr5hi728YYqoCQGbLfZK554cMvY83x7gCzWQ6c', '125', '536', '69', '223', '88685.72', '352681.63', '-46.3', '3621', '39523.35', '909811', '0', '0', '0', '0', '0', '1', '2', '409', '11367', '0', '300', '100', '10967', '0', '0', 'Failure')
INSERT INTO tokens VALUES('HR375umrtXashZMiksokLsVzt33FhYETJh6BsMMgn9ST', '4d1c4ikc65x5bUZSK2UFPkbnEPMZ3rDnw9XAXAhSZWAM', '693', '2277', '246', '793', '5923', '60624.8', '12.33', '131542', '101278.41', '368996122', '0', '0', '0', '0', '0', '1', '2', '417', '3500', '2900', '500', '100', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('pRdjR4g4cHW1md9nQrxL1T5xYNFBnWftEcy74rbgQgH', '4wvVyvvqvP7WQhKK1nXmJaCLqVMaEvUFuQdg6QKKpump', '900', '2342', '878', '2130', '92262.21', '387971.87', '5.67', '127', '39745.82', '166081', '1', '1', '1', '1', '100', '2', '2', '423', '500', '0', '500', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('77xkJWsyMUapxN7Dy1ANQcHiKrfEejNp14y19Y4KCD2H', 'J49fZuMpKELkHp31rkdaY6BpPRBzvc8TM5VoJFbvqkRk', '136', '492', '70', '201', '8463.58', '246330.24', '5.75', '3824753', '481369.06', '4179502489', '0', '0', '0', '0', '0', '1', '2', '432', '500', '0', '500', '0', '0', '0', '0', 'RFailure')
INSERT INTO tokens VALUES('JE93LnZy6UiepnXBipfJvUX81Kq8THju16wNnqmF4how', 'bfkyUaAcA7a8tR1PhJhftokWTyr8y9Y2Bf7UgMtpump', '676', '2171', '702', '2196', '19410.92', '132997.72', '14.81', '10.57', '23857.89', '61288', '1', '0', '1', '1', '0', '2', '2', '438', '500', '0', '500', '0', '0', '0', '0', 'Failure')
INSERT INTO tokens VALUES('GANk3Hc25XdGkedxrnqeqkaqEaH7jbWPsuiZaLnxnGBZ', 'RW7X9Sh6NvrENSjRXwa74NTuJDa8i6yscFp1VuyeurH', '128', '494', '73', '192', '5798.15', '257529.01', '3.53', '4222344', '504967.21', '4605952646', '0', '0', '0', '0', '0', '1', '2', '459', '500', '0', '500', '0', '0', '0', '0', 'RSuccess')
INSERT INTO tokens VALUES('6wuUQoiEWHNsrgCQUXYcizPfF2XxeAoVCsGj5EU4WtDR', 'EGfLYspKVANdsW5VM3FLCgyMnTALRNWw1rHc9ViJGef4', '138', '507', '84', '225', '7070.76', '245156.27', '4.51', '3771525', '474842.55', '4097499700', '0', '0', '0', '0', '0', '1', '2', '478', '500', '0', '500', '0', '0', '0', '0', 'RFailure')
